,location,key,value,type
297,Eastern Creek,h_degree,26.0536,
298,Emerton,h_degree,9.7497,
299,Hebersham,h_degree,24.5892,
300,Lethbridge Park,h_degree,6.2249,
301,Whalan South,h_degree,11.8081,
302,Minchinbury,h_degree,29.0482,
303,Mount Druitt,h_degree,38.7634,
304,Mount Druitt North,h_degree,29.2508,
305,Mount Druitt South,h_degree,24.893,
306,Plumpton,h_degree,34.0764,
307,Rooty Hill North,h_degree,31.7699,
308,Rooty Hill South,h_degree,26.3678,
309,St Clair,h_degree,21.1419,
310,St Marys North,h_degree,11.9086,
311,Shalvey,h_degree,7.9678,
312,Tregear,h_degree,5.6918,
313,Whalan,h_degree,7.4753,
314,Willmot,h_degree,22.8107,
315,Erskine Park,h_degree,22.7878,
316,Hassall Grove,h_degree,29.3588,
317,Glendenning,h_degree,35.7475,
318,Schofields (Chifley),h_degree,19.186,
319,Dean Park,h_degree,26.1953,
320,Marsden Park,h_degree,17.1674,
321,Oxley Park,trans_in,22.5657,
322,St Marys South,trans_in,24.4887,
323,St Clair West,trans_in,22.0646,
324,Bennett Road,trans_in,23.2899,
325,Bidwill,trans_in,23.6434,
326,Blackett,trans_in,25.1623,
327,St Clair East,trans_in,24.2988,
328,Dharruk,trans_in,21.3663,
329,Eastern Creek,trans_in,29.3078,
330,Emerton,trans_in,24.7382,
331,Hebersham,trans_in,22.5316,
332,Lethbridge Park,trans_in,29.1005,
333,Whalan South,trans_in,24.6041,
334,Minchinbury,trans_in,22.7223,
335,Mount Druitt,trans_in,19.7145,
336,Mount Druitt North,trans_in,20.7237,
337,Mount Druitt South,trans_in,22.2416,
338,Plumpton,trans_in,22.4657,
339,Rooty Hill North,trans_in,22.1459,
340,Rooty Hill South,trans_in,22.8096,
341,St Clair,trans_in,22.8583,
342,St Marys North,trans_in,25.398,
343,Shalvey,trans_in,24.29,
344,Tregear,trans_in,24.0369,
345,Whalan,trans_in,22.5405,
346,Willmot,trans_in,22.1472,
347,Erskine Park,trans_in,24.1544,
348,Hassall Grove,trans_in,23.7953,
349,Glendenning,trans_in,23.4077,
350,Schofields (Chifley),trans_in,28.1341,
351,Dean Park,trans_in,24.9727,
352,Marsden Park,trans_in,25.5352,
353,Oxley Park,own_house,26.7505,
354,St Marys South,own_house,28.3757,
355,St Clair West,own_house,26.0764,
356,Bennett Road,own_house,30.2414,
357,Bidwill,own_house,11.14,
358,Blackett,own_house,22.6763,
359,St Clair East,own_house,26.3814,
360,Dharruk,own_house,25.476,
361,Eastern Creek,own_house,22.3558,
362,Emerton,own_house,19.1011,
363,Hebersham,own_house,21.7151,
364,Lethbridge Park,own_house,20.654,
365,Whalan South,own_house,23.4428,
366,Minchinbury,own_house,23.99,
367,Mount Druitt,own_house,11.8395,
368,Mount Druitt North,own_house,23.5753,
369,Mount Druitt South,own_house,27.1117,
370,Plumpton,own_house,17.8754,
371,Rooty Hill North,own_house,31.6506,
372,Rooty Hill South,own_house,30.5584,
373,St Clair,own_house,30.2885,
374,St Marys North,own_house,25.1429,
375,Shalvey,own_house,17.8423,
376,Tregear,own_house,17.5714,
377,Whalan,own_house,21.6393,
378,Willmot,own_house,18.0398,
379,Erskine Park,own_house,28.4231,
380,Hassall Grove,own_house,14.7221,
381,Glendenning,own_house,9.4313,
382,Schofields (Chifley),own_house,35.7968,
383,Dean Park,own_house,21.0662,
384,Marsden Park,own_house,38.9635,
385,Oxley Park,unemployment,8.2231,
386,St Marys South,unemployment,6.7,
387,St Clair West,unemployment,5,
388,Bennett Road,unemployment,6.8667,
389,Bidwill,unemployment,15.6364,
390,Blackett,unemployment,11.9455,
391,St Clair East,unemployment,5.9267,
392,Dharruk,unemployment,8.4444,
393,Eastern Creek,unemployment,13.86,
394,Emerton,unemployment,12.6875,
395,Hebersham,unemployment,9.1846,
396,Lethbridge Park,unemployment,17.7,
397,Whalan South,unemployment,11.9125,
398,Minchinbury,unemployment,5.7526,
399,Mount Druitt,unemployment,9.1706,
400,Mount Druitt North,unemployment,8.6556,
401,Mount Druitt South,unemployment,8.77,
402,Plumpton,unemployment,6.0294,
403,Rooty Hill North,unemployment,6.9,
404,Rooty Hill South,unemployment,9.45,
405,St Clair,unemployment,4.64,
406,St Marys North,unemployment,6.5833,
407,Shalvey,unemployment,13.8091,
408,Tregear,unemployment,15.5667,
409,Whalan,unemployment,14.4167,
410,Willmot,unemployment,14,
411,Erskine Park,unemployment,4.4722,
412,Hassall Grove,unemployment,6.6875,
413,Glendenning,unemployment,5.8286,
414,Schofields (Chifley),unemployment,5.06,
415,Dean Park,unemployment,5.0818,
416,Marsden Park,unemployment,3.9333,
417,Oxley Park,catholic,33.1633,
418,St Marys South,catholic,38.123,
419,St Clair West,catholic,40.7751,
420,Bennett Road,catholic,35.4457,
421,Bidwill,catholic,32.0379,
422,Blackett,catholic,30.8571,
423,St Clair East,catholic,42.3666,
424,Dharruk,catholic,28.4276,
425,Eastern Creek,catholic,39.2423,
426,Emerton,catholic,28.2991,
427,Hebersham,catholic,34.4272,
428,Lethbridge Park,catholic,28.5554,
429,Whalan South,catholic,32.3549,
430,Minchinbury,catholic,40.7606,
431,Mount Druitt,catholic,36.4205,
432,Mount Druitt North,catholic,34.0475,
433,Mount Druitt South,catholic,38.3264,
434,Plumpton,catholic,41.952,
435,Rooty Hill North,catholic,45.2373,
436,Rooty Hill South,catholic,41.3662,
437,St Clair,catholic,41.0063,
438,St Marys North,catholic,31.5061,
439,Shalvey,catholic,28.7919,
440,Tregear,catholic,26.1494,
441,Whalan,catholic,29.0169,
442,Willmot,catholic,30.9633,
443,Erskine Park,catholic,43.8545,
444,Hassall Grove,catholic,38.911,
445,Glendenning,catholic,37.9412,
446,Schofields (Chifley),catholic,38.964,
447,Dean Park,catholic,38.166,
448,Marsden Park,catholic,45.898,
449,Oxley Park,overseas,34.1055,
450,St Marys South,overseas,33.7756,
451,St Clair West,overseas,30.7436,
452,Bennett Road,overseas,30.779,
453,Bidwill,overseas,32.2231,
454,Blackett,overseas,30.9488,
455,St Clair East,overseas,28.3825,
456,Dharruk,overseas,42.4646,
457,Eastern Creek,overseas,40.0286,
458,Emerton,overseas,39.2362,
459,Hebersham,overseas,41.8889,
460,Lethbridge Park,overseas,31.431,
461,Whalan South,overseas,33.9139,
462,Minchinbury,overseas,43.2485,
463,Mount Druitt,overseas,63.4037,
464,Mount Druitt North,overseas,54.2837,
465,Mount Druitt South,overseas,50.424,
466,Plumpton,overseas,52.0793,
467,Rooty Hill North,overseas,49.9915,
468,Rooty Hill South,overseas,44.7608,
469,St Clair,overseas,29.5577,
470,St Marys North,overseas,30.1031,
471,Shalvey,overseas,32.3055,
472,Tregear,overseas,29.4263,
473,Whalan,overseas,32.6231,
474,Willmot,overseas,33.0505,
475,Erskine Park,overseas,28.4035,
476,Hassall Grove,overseas,44.0378,
477,Glendenning,overseas,45.6398,
478,Schofields (Chifley),overseas,23.8918,
479,Dean Park,overseas,40.0616,
480,Marsden Park,overseas,26.5729,
481,Oxley Park,add_ss_,3.1272,
482,St Marys South,add_ss_,4.3524,
483,St Clair West,add_ss_,3.4764,
484,Bennett Road,add_ss_,3.2135,
485,Bidwill,add_ss_,3.9621,
486,Blackett,add_ss_,4.6266,
487,St Clair East,add_ss_,3.0488,
488,Dharruk,add_ss_,4.0698,
489,Eastern Creek,add_ss_,3.3873,
490,Emerton,add_ss_,3.6649,
491,Hebersham,add_ss_,3.6456,
492,Lethbridge Park,add_ss_,3.4921,
493,Whalan South,add_ss_,2.0706,
494,Minchinbury,add_ss_,2.7885,
495,Mount Druitt,add_ss_,4.3439,
496,Mount Druitt North,add_ss_,4.4079,
497,Mount Druitt South,add_ss_,5.1684,
498,Plumpton,add_ss_,3.2428,
499,Rooty Hill North,add_ss_,3.4364,
500,Rooty Hill South,add_ss_,3.6206,
501,St Clair,add_ss_,2.8425,
502,St Marys North,add_ss_,2.881,
503,Shalvey,add_ss_,5.0075,
504,Tregear,add_ss_,4.4389,
505,Whalan,add_ss_,5.2304,
506,Willmot,add_ss_,3.8037,
507,Erskine Park,add_ss_,2.3232,
508,Hassall Grove,add_ss_,3.3822,
509,Glendenning,add_ss_,3.3266,
510,Schofields (Chifley),add_ss_,3.6443,
511,Dean Park,add_ss_,2.8899,
512,Marsden Park,add_ss_,2.2936,
513,Oxley Park,c_no_c_h,27.036,
514,St Marys South,c_no_c_h,27.972,
515,St Clair West,c_no_c_h,25.6209,
516,Bennett Road,c_no_c_h,28.1013,
517,Bidwill,c_no_c_h,17.5542,
518,Blackett,c_no_c_h,21.1406,
519,St Clair East,c_no_c_h,24.0536,
520,Dharruk,c_no_c_h,23.75,
521,Eastern Creek,c_no_c_h,25.2688,
522,Emerton,c_no_c_h,20.9048,
523,Hebersham,c_no_c_h,20.9212,
524,Lethbridge Park,c_no_c_h,23.4899,
525,Whalan South,c_no_c_h,19.8324,
526,Minchinbury,c_no_c_h,21.1864,
527,Mount Druitt,c_no_c_h,21.7292,
528,Mount Druitt North,c_no_c_h,21.0669,
529,Mount Druitt South,c_no_c_h,25.2864,
530,Plumpton,c_no_c_h,17.7575,
531,Rooty Hill North,c_no_c_h,25.4557,
532,Rooty Hill South,c_no_c_h,27.6066,
533,St Clair,c_no_c_h,29.5438,
534,St Marys North,c_no_c_h,27.2449,
535,Shalvey,c_no_c_h,20.8257,
536,Tregear,c_no_c_h,22.6415,
537,Whalan,c_no_c_h,23.6544,
538,Willmot,c_no_c_h,30.3896,
539,Erskine Park,c_no_c_h,21.4286,
540,Hassall Grove,c_no_c_h,18.893,
541,Glendenning,c_no_c_h,18.7636,
542,Schofields (Chifley),c_no_c_h,29.3255,
543,Dean Park,c_no_c_h,21.2241,
544,Marsden Park,c_no_c_h,33.8192,
545,Oxley Park,c_diploma,54.5087,
546,St Marys South,c_diploma,58.4773,
547,St Clair West,c_diploma,59.591,
548,Bennett Road,c_diploma,60.9725,
549,Bidwill,c_diploma,51.4119,
550,Blackett,c_diploma,52.9126,
551,St Clair East,c_diploma,62.0044,
552,Dharruk,c_diploma,50.8155,
553,Eastern Creek,c_diploma,55.7471,
554,Emerton,c_diploma,49.8024,
555,Hebersham,c_diploma,49.6652,
556,Lethbridge Park,c_diploma,46.7871,
557,Whalan South,c_diploma,44.4034,
558,Minchinbury,c_diploma,49.1738,
559,Mount Druitt,c_diploma,41.9441,
560,Mount Druitt North,c_diploma,47.101,
561,Mount Druitt South,c_diploma,45.6269,
562,Plumpton,c_diploma,48.2661,
563,Rooty Hill North,c_diploma,46.0619,
564,Rooty Hill South,c_diploma,49.3921,
565,St Clair,c_diploma,62.2386,
566,St Marys North,c_diploma,52.0392,
567,Shalvey,c_diploma,51.8353,
568,Tregear,c_diploma,49.0368,
569,Whalan,c_diploma,51.481,
570,Willmot,c_diploma,49.7881,
571,Erskine Park,c_diploma,57.1836,
572,Hassall Grove,c_diploma,51.631,
573,Glendenning,c_diploma,50.2328,
574,Schofields (Chifley),c_diploma,60.2713,
575,Dean Park,c_diploma,56.1616,
576,Marsden Park,c_diploma,55.5794,
577,Oxley Park,no_religion,13.4926,
578,St Marys South,no_religion,13.2045,
579,St Clair West,no_religion,11.4037,
580,Bennett Road,no_religion,12.5053,
581,Bidwill,no_religion,14.183,
582,Blackett,no_religion,15.2795,
583,St Clair East,no_religion,11.2849,
584,Dharruk,no_religion,8.4331,
585,Eastern Creek,no_religion,8.792,
586,Emerton,no_religion,14.2804,
587,Hebersham,no_religion,9.2744,
588,Lethbridge Park,no_religion,13.7156,
589,Whalan South,no_religion,10.3413,
590,Minchinbury,no_religion,7.1517,
591,Mount Druitt,no_religion,5.2265,
592,Mount Druitt North,no_religion,8.0166,
593,Mount Druitt South,no_religion,7.3347,
594,Plumpton,no_religion,6.0031,
595,Rooty Hill North,no_religion,7.2203,
596,Rooty Hill South,no_religion,6.8895,
597,St Clair,no_religion,11.7901,
598,St Marys North,no_religion,13.3786,
599,Shalvey,no_religion,15.3123,
600,Tregear,no_religion,15.1155,
601,Whalan,no_religion,12.7293,
602,Willmot,no_religion,15.367,
603,Erskine Park,no_religion,9.2045,
604,Hassall Grove,no_religion,7.9413,
605,Glendenning,no_religion,8.7451,
606,Schofields (Chifley),no_religion,13.3634,
607,Dean Park,no_religion,10.6045,
608,Marsden Park,no_religion,11.456,
609,Oxley Park,rent_house,31.195,
610,St Marys South,rent_house,26.8754,
611,St Clair West,rent_house,15.4639,
612,Bennett Road,rent_house,18.2126,
613,Bidwill,rent_house,14.7378,
614,Blackett,rent_house,20.9135,
615,St Clair East,rent_house,14.8971,
616,Dharruk,rent_house,21.1242,
