region_id,Median_age_persons,Median_mortgage_repay_monthly,Median_Tot_prsnl_inc_weekly,Median_rent_weekly,Median_Tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_Tot_hhd_inc_weekly,Average_household_size,pct_have_motor,O_OR_Total,O_MTG_Total,R_Tot_Total,Oth_ten_type_Total,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_unit_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Household,pct_house,pct_unit,pct_semi,pct_own,pct_rent,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6,Total_NofB_NS,Total_NofB_Total,Pct_NofB_1,Pct_NofB_2,Pct_NofB_3,Pct_NofB_4_or_m,Pct_Unem_loyment_P,Pct_LabForc_prticipation_P,Pct_Employment_to_populn_P,Pct_Bchelr_or_higher,F_Tot_Managers,F_Tot_Professionals,F_Tot_TechnicTrades_W,F_Tot_CommunPersnlSvc_W,F_Tot_ClericalAdminis_W,F_Tot_Sales_W,F_Tot_Mach_oper_drivers,F_Tot_Labourers,F_Tot_Occu_ID_NS,F_Tot_Tot,Pct_professionals_managers,One_method_Train_P,One_method_Bus_P,One_method_Ferry_P,One_method_Taxi_P,One_method_Car_as_driver_P,One_method_Car_as_passenger_P,One_method_Bicycle_P,One_method_Walked_only_P,pct_one_method_Train,pct_one_method_Bus,pct_one_method_Ferry,pct_one_method_Bicyle,SSC_CODE_2011,SSC_NAME_2011,CONF_VALUE,POA_CODE_2011,AREA_ALBERS_SQKM,suburb,latitude,longtitude,state
SSC60013,39,1300,473,250,1083,1.1,1093,2.7,0.980722892,136,239,51,0,9,435,0,0,0,0,435,1,0,0,0.862068966,0.117241379,5,49,263,87,14,4,13,422,0.011848341,0.116113744,0.623222749,0.248815166,7.2,59.5,55.2,0.098360656,22,26,15,36,69,48,3,36,3,258,0.188235294,0,0,0,0,377,30,0,6,0,0,0,0,60013,Bagdad,Very good,7030,71.04315738,BAGDAD,-42.41812,147.138308,
SSC60014,48,949,549,160,1352,1.2,1116,2.5,0.97029703,50,35,12,3,0,100,0,0,0,0,100,1,0,0,0.85,0.12,10,16,56,18,0,0,0,100,0.1,0.16,0.56,0.18,7.3,70.6,65.4,0.235294118,12,11,9,8,11,5,3,3,3,65,0.370967742,0,0,0,0,74,5,0,10,0,0,0,0,60014,Bakers Beach,Very poor,7307,270.4496654,BAKERS BEACH,-41.185628,146.61064,
SSC60015,46,1257,398,210,1050,1.1,926,2.6,1,84,61,15,3,0,160,0,0,3,0,163,0.981595092,0,0,0.889570552,0.09202454,5,15,102,36,3,3,0,164,0.030487805,0.091463415,0.62195122,0.256097561,5.2,62.9,59.6,0.214285714,18,9,6,17,16,17,0,9,0,92,0.293478261,0,0,0,0,139,9,0,5,0,0,0,0,60015,Barrington (Tas.),Poor,7306,47.58219112,BARRINGTON (TAS.),-41.280491,146.324953,
SSC60016,41,1400,757,310,1920,1.1,1376,2.1,0.862416107,293,157,449,5,14,337,219,355,7,0,918,0.367102397,0.38671024,0.238562092,0.490196078,0.489106754,111,406,221,105,36,18,14,897,0.123745819,0.452619844,0.246376812,0.177257525,4.9,62.3,59.2,0.690539346,53,229,20,88,113,42,0,8,4,557,0.50994575,0,27,4,12,370,55,19,368,0,0.024128686,0.00357462,0.016979446,60016,Battery Point,Very good,7004,0.68337251,BATTERY POINT,-42.892767,147.333242,
SSC60017,42,914,364,155,809,1.1,680,2.2,0.929487179,164,153,145,3,19,430,33,15,6,0,484,0.888429752,0.030991736,0.068181818,0.654958678,0.299586777,26,105,278,45,12,0,10,466,0.055793991,0.225321888,0.596566524,0.122317597,9.6,48.2,43.5,0.132075472,12,12,4,44,37,39,10,34,0,192,0.125,0,6,0,4,264,20,0,24,0,0.014388489,0,0,60017,Beaconsfield (Tas.),Good,7270,21.1348226,BEACONSFIELD (TAS.),-41.101676,146.674021,
SSC60018,51,1300,419,195,927,1,580,2.3,1,56,33,24,0,0,105,8,0,0,0,113,0.92920354,0,0.07079646,0.787610619,0.212389381,0,27,64,17,4,0,0,112,0,0.241071429,0.571428571,0.1875,9.2,46.4,42.1,0.416666667,0,17,6,12,6,3,0,0,0,44,0.386363636,0,0,0,0,64,3,0,0,0,0,0,0,60018,Beaumaris (Tas.),Very good,7215,15.24101873,BEAUMARIS (TAS.),-41.419818,148.27604,
SSC60019,50,975,372,200,882,1.1,705,2.2,0.950617284,253,126,110,3,12,465,0,9,30,0,504,0.922619048,0.017857143,0,0.751984127,0.218253968,34,138,250,51,15,0,13,488,0.069672131,0.282786885,0.512295082,0.135245902,8.9,44.5,40.5,0.217506631,19,32,15,55,30,18,3,22,0,194,0.262886598,0,8,0,0,265,22,4,20,0,0.019093079,0,0.009546539,60019,Beauty Point,Very good,7270,2.6978913,BEAUTY POINT,-41.101676,146.674021,
SSC60020,45,1300,459,150,1083,1.1,906,2.5,0.961538462,60,65,11,3,0,135,0,0,4,0,139,0.971223022,0,0,0.899280576,0.079136691,3,37,56,26,11,0,0,133,0.022556391,0.278195489,0.421052632,0.278195489,4.6,53.7,51.2,0.20212766,3,6,3,12,9,9,6,10,3,61,0.155172414,0,0,0,0,99,6,0,3,0,0,0,0,60020,Beechford,Very poor,7253,221.0216453,BEECHFORD,-41.13138,146.867715,
SSC60021,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,60021,Bell Bay,Very poor,7253,11.50348765,BELL BAY,-41.13138,146.867715,
SSC60022,47,1400,601,240,1466,1,1000,2.1,0.884635832,821,522,534,6,40,1465,219,235,4,0,1923,0.761830473,0.122204888,0.113884555,0.698387936,0.277691108,108,634,793,275,58,18,31,1886,0.057264051,0.336161188,0.420466596,0.186108165,4.5,56.5,54,0.443943662,94,322,30,123,246,118,6,47,14,1000,0.421906694,0,162,8,10,1183,149,18,52,0,0.080277502,0.003964321,0.008919722,60022,Bellerive,Very good,7018,2.83022455,BELLERIVE,-42.874817,147.367625,
